Dirty_Dancing_Fitness_Workout_00000051.jpg 3 6
Dirty_Dancing_Fitness_Workout_00001071.jpg 3 6
 427.0 137.8 427.0 215.7 
 398.5 134.9 401.4 87.5 
 455.1 135.4 459.9 90.9 
 402.8 84.6 428.5 49.7 
 461.4 85.0 429.5 57.5 
 427.0 84.6 429.5 121.8 
 91.7 79.7 93.2 172.1 
 64.1 88.9 40.9 36.2 
 122.7 91.8 129.0 37.1 
 38.0 32.3 51.1 -3.5 
 128.5 33.3 102.4 -7.4 
 89.8 69.6 88.8 33.3 
 274.6 122.3 276.5 175.0 
 250.4 120.4 252.4 86.0 
 300.3 119.4 296.9 83.1 
 255.3 77.3 265.4 50.2 
 295.9 77.8 281.4 50.2 
 272.2 80.7 274.6 107.8 
Dirty_Dancing_Fitness_Workout_00001077.jpg 3 6
 426.1 135.4 430.9 209.9 
 399.5 129.6 394.1 79.7 
 455.6 132.0 464.8 85.5 
 395.6 74.4 410.1 39.1 
 465.7 78.3 442.0 43.9 
 426.5 80.2 428.0 114.6 
 91.7 84.1 90.7 171.7 
 58.3 82.6 30.7 40.5 
 120.3 84.6 146.9 41.5 
 24.0 33.8 15.7 -8.8 
 151.7 37.6 149.3 -6.4 
 87.4 30.9 88.8 64.7 
 275.1 118.9 277.0 177.0 
 252.8 118.4 246.1 76.3 
 299.3 119.9 303.6 82.6 
 246.5 71.0 244.6 39.6 
 305.6 76.3 303.2 45.4 
 271.2 78.3 273.2 106.3 
Dirty_Dancing_Fitness_Workout_00001079.jpg 3 6
 429.5 137.8 427.5 213.8 
 400.9 133.0 391.7 85.0 
 457.5 133.4 468.2 83.6 
 390.3 79.7 403.8 34.7 
 468.2 80.2 448.8 39.6 
 429.5 80.2 427.5 114.6 
 91.7 83.1 89.8 175.0 
 58.3 84.1 22.5 42.5 
 125.6 85.0 153.6 48.3 
 19.6 35.2 6.5 1.3 
 157.0 41.0 167.2 1.3 
 87.4 30.4 88.8 65.2 
 275.1 118.9 278.0 178.0 
 249.9 119.9 242.7 79.7 
 301.2 117.0 306.1 82.6 
 242.7 77.3 235.4 40.5 
 307.0 78.3 310.4 45.9 
 274.1 78.3 274.6 107.8 
Dirty_Dancing_Fitness_Workout_00001115.jpg 3 6
 425.6 136.8 428.0 209.4 
 397.0 133.9 378.6 87.5 
 454.6 132.0 484.6 90.9 
 375.3 79.7 366.5 37.1 
 489.5 86.5 506.9 40.5 
 427.0 80.7 427.5 113.1 
 93.2 83.1 95.6 169.7 
 61.7 87.5 31.2 43.0 
 121.7 90.9 143.0 40.0 
 28.3 35.2 5.6 -3.0 
 144.5 32.8 151.2 -6.9 
 86.9 31.8 88.3 68.1 
 271.2 120.4 276.5 179.4 
 251.9 121.8 246.5 79.7 
 298.8 119.9 301.7 81.2 
 245.6 73.0 242.7 39.1 
 302.7 77.3 303.6 41.0 
 271.7 79.7 273.2 108.3 
Dirty_Dancing_Fitness_Workout_00001122.jpg 3 6
 429.9 139.2 429.0 212.3 
 393.6 136.8 406.7 87.5 
 458.0 130.5 462.8 85.5 
 408.2 84.1 427.0 47.3 
 463.8 81.7 444.9 41.0 
 429.5 85.5 429.9 118.4 
 92.7 84.6 92.7 173.1 
 66.1 91.8 55.4 42.5 
 122.7 89.9 112.5 35.2 
 52.0 33.3 63.2 -1.6 
 110.6 30.4 80.1 -4.0 
 87.4 33.8 90.7 69.6 
 274.1 117.0 276.1 179.9 
 250.4 118.0 256.7 77.3 
 300.3 115.0 292.0 73.9 
 259.1 72.5 264.5 43.0 
 290.1 70.0 279.9 40.5 
 271.7 78.3 274.6 105.9 
Dirty_Dancing_Fitness_Workout_00001133.jpg 3 6
 425.6 135.9 427.5 216.2 
 389.8 140.2 423.6 151.8 
 465.7 137.8 440.6 130.5 
 423.6 152.3 468.2 137.8 
 436.2 131.5 405.7 112.6 
 428.0 87.5 426.5 121.8 
 91.7 83.6 94.6 174.1 
 52.5 88.0 65.1 88.0 
 138.2 91.3 106.7 75.9 
 69.0 88.0 105.3 75.9 
 98.5 73.4 52.0 60.9 
 85.4 45.9 88.3 79.7 
 274.1 125.7 276.5 175.5 
 241.2 126.7 255.7 123.3 
 307.5 129.6 298.3 124.2 
 259.1 122.8 278.5 119.4 
 293.5 124.7 281.4 117.5 
 272.2 82.6 273.2 109.2 
Dirty_Dancing_Fitness_Workout_00001150.jpg 3 6
 428.0 140.7 428.5 225.4 
 393.2 145.5 381.1 191.5 
 463.3 146.0 473.5 190.0 
 378.6 196.3 389.8 235.5 
 479.3 194.4 469.6 235.0 
 430.4 88.4 430.9 124.2 
 92.2 96.2 92.7 180.4 
 57.4 99.6 47.7 150.9 
 130.4 100.0 140.1 150.9 
 47.2 158.1 51.5 200.7 
 142.0 160.0 115.9 198.3 
 86.9 41.5 90.7 80.2 
 273.6 126.2 274.6 181.3 
 247.5 130.5 243.6 169.2 
 302.2 130.5 316.7 166.8 
 242.2 172.6 238.3 202.1 
 319.1 170.7 322.5 197.3 
 271.7 85.0 273.2 111.2 
Dirty_Dancing_Fitness_Workout_00001156.jpg 3 6
 428.0 147.5 428.0 218.1 
 395.1 143.6 372.8 187.6 
 464.3 145.5 486.5 181.8 
 372.8 192.5 357.8 229.7 
 490.4 188.1 502.5 232.6 
 429.0 86.0 429.9 123.8 
 90.3 93.3 93.6 181.3 
 53.5 104.4 28.3 139.2 
 133.3 101.0 166.7 139.2 
 25.4 143.6 13.3 192.0 
 171.5 143.6 174.0 187.6 
 84.9 40.0 87.4 76.3 
 273.6 124.2 276.1 188.1 
 247.0 128.6 229.1 160.0 
 303.2 129.1 327.8 155.7 
 228.2 160.5 212.7 178.4 
 329.3 155.7 344.8 175.0 
 272.2 84.1 274.1 112.1 
Dirty_Dancing_Fitness_Workout_00001160.jpg 3 6
 427.5 143.4 428.0 219.3 
 391.2 144.8 369.9 190.8 
 464.8 146.7 492.4 190.8 
 368.0 196.1 348.6 234.3 
 493.3 190.3 513.2 224.2 
 429.9 89.6 429.9 122.5 
 90.7 99.8 92.2 183.0 
 58.3 105.1 17.7 135.1 
 132.8 100.8 172.5 133.7 
 13.8 142.9 8.5 187.9 
 176.9 137.5 184.1 183.5 
 86.4 38.8 85.9 77.1 
 273.6 125.0 275.6 184.5 
 247.5 127.4 224.3 151.6 
 299.8 127.4 325.4 148.2 
 221.9 153.0 200.1 166.6 
 329.3 149.6 353.5 163.2 
 271.7 85.3 273.6 114.8 
Dirty_Dancing_Fitness_Workout_00001188.jpg 3 6
 429.0 142.4 428.0 216.4 
 399.9 134.2 387.8 80.0 
 456.1 135.6 474.5 85.8 
 391.2 76.6 403.3 39.3 
 474.0 80.9 459.5 42.2 
 426.5 79.5 427.0 116.7 
 93.6 83.8 94.1 170.5 
 61.7 88.7 24.5 44.6 
 123.2 86.3 154.1 48.0 
 20.6 37.4 4.6 2.1 
 159.0 43.7 168.6 0.1 
 87.8 28.7 90.7 65.0 
 274.1 119.6 276.5 176.3 
 253.3 122.1 239.3 86.3 
 299.3 121.1 310.4 83.8 
 237.8 81.9 228.2 47.5 
 312.8 81.4 319.1 50.5 
 272.7 79.0 274.1 108.0 
Dirty_Dancing_Fitness_Workout_00001193.jpg 3 6
 428.5 135.6 428.5 216.4 
 396.5 134.6 379.1 89.2 
 452.7 141.9 478.3 92.1 
 378.6 82.4 375.3 41.3 
 480.7 83.8 482.7 36.9 
 426.1 80.0 429.5 113.8 
 93.6 85.3 93.2 175.3 
 59.3 86.7 15.7 53.4 
 123.2 90.1 166.7 60.1 
 9.9 49.5 -8.0 19.5 
 174.5 56.3 196.2 18.0 
 87.4 29.6 90.3 65.9 
 274.1 122.1 275.6 175.8 
 250.4 120.1 227.7 87.2 
 301.2 120.6 323.0 87.2 
 223.8 83.4 205.9 61.6 
 324.5 87.7 337.0 59.2 
 273.2 81.9 274.6 107.1 
Dirty_Dancing_Fitness_Workout_00001208.jpg 3 6
 425.1 138.5 429.0 214.0 
 392.7 135.6 353.5 114.8 
 459.9 133.2 503.0 111.9 
 349.1 113.8 314.8 92.5 
 508.3 111.9 541.7 79.5 
 425.6 79.0 427.5 113.8 
 92.7 85.8 92.2 173.4 
 60.3 90.1 9.0 94.5 
 125.1 88.7 169.1 102.7 
 NaN NaN NaN NaN 
 182.2 102.7 229.1 101.3 
 86.9 30.1 91.2 65.0 
 276.1 124.5 276.5 182.5 
 254.8 124.0 217.0 120.1 
 301.7 127.4 339.0 122.1 
 210.7 120.1 182.2 113.4 
 342.8 121.6 370.4 113.4 
 275.1 80.0 275.1 106.6 
Dirty_Dancing_Fitness_Workout_00001256.jpg 3 6
 429.9 143.8 429.0 222.2 
 392.7 144.8 382.5 196.1 
 466.7 146.7 479.3 193.7 
 381.1 202.9 381.5 246.4 
 481.7 198.0 479.8 240.6 
 431.9 86.3 431.4 124.5 
 92.7 94.0 94.1 178.2 
 54.9 97.9 38.5 151.6 
 129.5 95.5 148.3 149.2 
 40.9 156.4 31.7 196.1 
 150.3 155.0 152.7 201.4 
 82.0 38.4 86.9 79.5 
 275.6 129.8 278.0 188.8 
 248.0 130.8 244.6 171.9 
 300.7 126.4 307.0 165.6 
 243.6 176.3 245.6 211.1 
 309.5 169.5 315.3 200.5 
 274.1 86.7 274.1 116.3 
Dirty_Dancing_Fitness_Workout_00001273.jpg 3 6
 427.5 141.4 429.5 220.3 
 394.6 143.8 377.7 196.6 
 466.2 146.3 488.0 189.8 
 375.3 200.0 358.8 240.1 
 491.9 196.1 510.7 228.0 
 429.9 84.8 431.4 125.5 
 90.3 97.4 91.7 184.0 
 53.5 102.2 30.3 143.4 
 131.9 101.3 162.4 141.9 
 30.7 148.2 7.5 181.1 
 163.8 144.3 188.5 177.2 
 85.9 42.2 86.4 80.9 
 272.2 131.3 275.6 190.8 
 248.5 132.2 232.0 167.5 
 301.2 133.2 315.3 166.6 
 231.1 169.0 217.5 191.7 
 317.7 170.5 335.6 194.6 
 270.7 89.2 273.2 117.7 
Dirty_Dancing_Fitness_Workout_00001346.jpg 5 6
 98.5 138.0 100.4 198.0 
 83.5 138.0 72.8 100.8 
 122.7 140.5 123.6 99.3 
 74.8 95.0 76.7 64.5 
 122.7 95.5 119.3 60.6 
 96.5 106.1 98.5 130.8 
 599.8 143.8 596.9 203.8 
 573.2 142.4 584.8 104.6 
 616.7 140.0 623.0 106.6 
 585.7 101.3 605.6 75.6 
 624.5 103.7 614.8 77.5 
 598.8 109.0 598.3 134.2 
 343.3 123.5 344.3 184.5 
 321.1 121.6 332.2 89.2 
 366.5 120.6 356.4 87.7 
 332.7 85.3 353.0 70.3 
 354.0 81.9 329.3 66.4 
 342.4 90.1 344.3 117.2 
 240.3 144.8 240.7 186.9 
 230.6 144.3 219.9 118.2 
 256.2 142.4 252.4 117.7 
 218.5 121.6 224.8 95.0 
 251.4 116.3 239.8 94.5 
 241.2 118.2 240.7 138.5 
 446.9 149.2 445.9 186.9 
 428.5 151.1 436.7 118.7 
 464.8 149.2 461.9 118.2 
 435.7 117.2 444.5 96.4 
 460.4 117.7 456.5 98.4 
 445.4 118.2 445.9 139.5 
Dirty_Dancing_Fitness_Workout_00001379.jpg 5 6
 98.0 174.8 101.4 224.2 
 81.1 177.2 56.9 194.2 
 126.1 176.3 147.4 192.7 
 57.8 195.1 29.8 210.1 
 152.7 196.1 176.9 210.6 
 98.5 137.1 99.9 159.3 
 593.5 161.3 594.5 214.5 
 569.3 161.7 554.8 196.1 
 624.5 164.2 637.0 193.2 
 551.9 199.0 550.4 227.1 
 641.9 196.6 646.7 227.5 
 595.4 120.6 595.4 148.2 
 346.2 146.3 347.7 200.0 
 327.4 148.2 299.8 166.1 
 369.0 149.6 391.2 164.6 
 293.5 170.5 296.4 203.4 
 395.1 172.4 389.3 198.0 
 343.3 108.5 343.8 132.7 
 241.2 158.8 242.2 202.4 
 228.6 156.9 216.1 173.8 
 254.8 159.8 270.7 173.8 
 212.2 175.8 197.2 187.4 
 274.1 174.8 292.0 186.9 
 240.7 131.3 240.7 151.1 
 445.9 163.2 448.8 203.4 
 429.9 163.2 412.5 183.0 
 463.8 164.2 482.7 180.6 
 411.5 183.5 394.1 195.1 
 480.7 184.0 496.7 198.5 
 446.4 134.6 444.9 155.0 
Dirty_Dancing_Fitness_Workout_00001383.jpg 5 6
 99.0 176.7 102.8 225.6 
 78.6 180.1 55.4 197.5 
 125.1 179.6 148.3 195.6 
 56.4 197.5 31.7 209.6 
 152.2 197.1 173.5 209.2 
 97.0 138.0 99.0 161.7 
 595.9 160.8 597.4 213.5 
 568.8 161.7 555.7 197.1 
 624.5 165.1 641.9 196.1 
 555.7 199.0 545.6 224.2 
 642.4 196.6 651.1 223.2 
 596.4 122.5 598.3 149.2 
 346.2 147.2 347.7 201.4 
 322.0 146.3 301.7 174.8 
 373.3 148.2 388.3 175.8 
 299.3 178.7 295.9 206.3 
 389.3 175.8 390.3 209.6 
 345.3 108.5 344.3 134.2 
 240.3 159.8 242.7 203.8 
 228.6 157.9 211.7 175.8 
 260.1 160.8 274.1 178.7 
 211.7 181.1 190.4 199.5 
 274.6 181.6 290.1 194.6 
 240.7 134.2 241.7 153.5 
 445.4 164.6 447.8 202.4 
 429.9 163.2 413.0 180.1 
 461.9 165.1 481.2 180.1 
 406.7 182.1 390.7 193.2 
 483.2 183.0 499.1 192.7 
 445.4 138.0 444.5 156.4 
Dirty_Dancing_Fitness_Workout_00001419.jpg 5 6
 98.5 142.9 97.5 195.1 
 82.0 141.4 76.2 98.4 
 123.2 143.8 121.7 107.1 
 75.7 96.9 87.4 70.8 
 122.7 100.3 115.9 72.2 
 99.9 103.7 99.9 129.3 
 603.6 140.0 603.6 194.6 
 578.5 142.9 558.2 113.4 
 620.6 140.0 654.0 117.2 
 556.2 110.5 544.6 87.2 
 656.9 115.3 672.4 88.7 
 601.2 104.2 600.7 129.8 
 346.7 115.3 345.7 175.3 
 323.5 117.7 292.0 105.6 
 363.2 117.7 399.9 110.9 
 289.1 104.2 268.3 87.2 
 406.7 105.6 429.0 92.1 
 344.8 77.5 345.7 101.7 
 239.8 141.4 243.2 185.9 
 228.2 142.4 207.8 130.8 
 255.3 143.4 273.6 131.3 
 204.5 129.8 185.1 113.4 
 275.6 128.4 287.2 109.0 
 239.8 117.7 241.7 139.0 
 447.8 150.6 448.8 195.1 
 431.4 149.6 422.2 126.4 
 462.4 150.6 474.9 127.9 
 419.3 124.0 409.1 105.6 
 477.8 124.5 481.2 101.7 
 445.4 118.2 446.4 139.0 
Dirty_Dancing_Fitness_Workout_00001448.jpg 5 6
 99.5 145.3 99.5 198.5 
 80.1 140.0 56.4 125.0 
 123.2 141.4 155.1 125.5 
 55.9 121.6 36.1 104.6 
 152.7 124.0 184.1 107.1 
 99.0 102.7 101.4 129.8 
 599.3 142.9 597.8 203.4 
 573.6 143.8 569.8 104.2 
 620.6 141.4 634.1 107.5 
 570.7 102.2 573.6 68.8 
 639.0 104.2 642.8 72.2 
 598.8 106.1 598.8 133.7 
 343.3 122.5 344.3 179.2 
 324.0 125.5 305.6 95.5 
 363.2 125.9 384.9 95.0 
 303.2 91.6 294.0 61.1 
 385.4 90.6 399.5 57.7 
 342.8 85.8 344.3 110.9 
 240.7 142.9 243.2 188.8 
 229.6 142.4 217.5 122.1 
 255.7 147.2 263.0 124.0 
 213.2 118.7 209.8 95.0 
 265.4 122.5 268.3 95.5 
 241.2 114.3 243.2 138.5 
 445.9 152.5 446.9 195.1 
 427.0 151.6 429.0 123.5 
 464.8 148.7 465.7 121.6 
 427.5 118.2 426.5 95.9 
 467.2 116.7 468.2 94.5 
 444.9 124.5 446.4 142.4 
Dirty_Dancing_Fitness_Workout_00001455.jpg 5 6
 95.1 143.8 102.4 199.5 
 83.5 141.4 71.9 99.8 
 122.7 142.9 125.6 98.8 
 74.3 96.4 72.8 70.8 
 125.1 91.6 126.5 66.9 
 97.0 103.2 97.5 130.3 
 596.4 151.6 597.4 207.2 
 573.6 152.1 589.6 114.8 
 616.2 150.6 624.0 118.7 
 594.9 116.3 617.7 91.1 
 624.5 114.8 606.1 92.1 
 595.9 115.3 596.9 140.5 
 343.8 126.9 343.8 182.5 
 321.5 125.0 318.6 95.5 
 363.6 122.5 366.1 90.6 
 316.7 89.2 326.4 60.1 
 368.5 84.8 352.5 59.2 
 341.9 89.6 342.8 116.7 
 242.2 148.2 242.7 186.4 
 228.6 149.2 225.3 130.8 
 257.2 147.2 257.7 124.5 
 224.3 126.4 230.6 106.6 
 256.2 120.6 240.7 105.1 
 243.2 121.1 240.7 144.3 
 444.5 157.4 444.5 198.5 
 427.0 157.9 436.2 128.8 
 462.8 153.5 460.9 128.4 
 435.3 122.5 445.9 107.1 
 463.3 124.5 457.5 106.1 
 444.9 127.4 444.0 146.7 
Dirty_Dancing_Fitness_Workout_00001480.jpg 5 6
 99.9 176.7 103.8 223.2 
 79.1 173.4 70.4 203.4 
 129.5 170.5 140.1 197.1 
 70.9 208.2 61.2 233.8 
 142.0 202.9 147.4 232.9 
 102.8 127.4 103.3 153.5 
 597.8 160.8 597.4 213.0 
 568.8 162.7 562.0 195.1 
 624.9 163.2 637.0 194.6 
 565.9 199.5 566.4 227.5 
 636.5 199.0 632.2 224.2 
 599.3 122.5 600.3 147.7 
 344.8 140.0 347.2 196.1 
 327.4 143.8 311.4 173.4 
 371.4 142.4 381.1 175.8 
 309.9 177.7 308.0 209.6 
 384.9 177.7 383.0 211.1 
 344.3 108.0 342.4 133.7 
 243.2 160.8 242.7 203.8 
 230.6 160.8 218.5 183.5 
 258.2 162.2 268.3 185.9 
 221.4 187.4 217.0 202.4 
 268.8 185.9 264.5 206.7 
 243.6 134.6 244.6 155.5 
 447.4 162.2 447.4 199.0 
 429.0 167.5 423.6 198.5 
 464.8 167.5 473.5 190.3 
 426.5 199.5 423.6 219.3 
 473.5 192.2 476.4 214.0 
 445.9 135.6 448.3 156.9 
Dirty_Dancing_Fitness_Workout_00001492.jpg 5 6
 100.9 171.9 107.2 226.6 
 83.0 178.2 61.2 199.5 
 128.0 173.8 151.7 195.1 
 57.8 196.1 31.7 208.7 
 152.7 198.0 181.7 211.1 
 99.0 134.6 103.3 162.2 
 599.8 159.3 599.3 213.5 
 572.7 160.8 570.7 197.1 
 626.9 164.6 634.1 196.6 
 570.3 198.5 571.2 227.5 
 636.1 201.4 639.5 229.5 
 602.2 121.6 600.3 149.2 
 328.8 139.0 332.2 190.3 
 305.1 140.5 284.3 164.2 
 357.4 139.0 378.2 158.8 
 282.4 166.6 264.0 187.4 
 382.0 161.7 403.8 180.6 
 326.4 100.8 330.7 126.4 
 242.2 161.7 242.7 198.5 
 228.6 161.7 215.6 176.3 
 261.1 161.3 276.1 177.7 
 214.1 176.7 196.2 192.7 
 273.2 181.1 293.0 193.2 
 242.7 133.7 243.2 152.1 
 446.9 164.6 447.4 202.4 
 430.9 164.2 413.0 182.1 
 464.8 167.1 481.2 182.1 
 410.6 185.0 393.6 195.6 
 480.7 184.0 499.6 195.6 
 446.4 136.6 447.8 156.4 
Dirty_Dancing_Fitness_Workout_00001505.jpg 2 6
 218.0 243.8 221.4 363.3 
 159.9 241.3 181.2 322.1 
 284.3 245.2 251.4 328.4 
 193.8 324.1 266.4 352.1 
 241.7 335.7 171.1 377.8 
 210.7 154.2 212.2 221.0 
 495.7 175.0 495.7 286.3 
